rank,day_name,hour,type,engagement,reach,retention,saturation,prod_hours
1,Lunes,20:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Lunes,22:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Martes,15:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Martes,16:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Miércoles,13:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Miércoles,19:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Jueves,12:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Jueves,17:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Viernes,17:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Viernes,18:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Sábado,18:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Sábado,18:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Domingo,19:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
1,Domingo,21:00,video,0.6993,0.6673,0.9492,0.6923,2.9143
2,Lunes,15:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Lunes,15:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Martes,19:00,short,0.6947,0.6676,0.8963,0.2582,2.9143
2,Martes,20:00,reel,0.6947,0.6676,0.8963,0.2582,2.9143
2,Miércoles,14:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Miércoles,15:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Jueves,12:00,short,0.6947,0.6676,0.8963,0.2582,2.9143
2,Jueves,15:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Viernes,11:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Viernes,14:00,reel,0.6947,0.6676,0.8963,0.2582,2.9143
2,Sábado,15:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Sábado,19:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Domingo,16:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
2,Domingo,20:00,video,0.6947,0.6676,0.8963,0.2582,2.9143
3,Lunes,15:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Lunes,17:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Martes,16:00,short,0.6892,0.6853,0.8852,0.1923,3.1429
3,Martes,16:00,short,0.6892,0.6853,0.8852,0.1923,3.1429
3,Miércoles,18:00,reel,0.6892,0.6853,0.8852,0.1923,3.1429
3,Miércoles,20:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Jueves,15:00,short,0.6892,0.6853,0.8852,0.1923,3.1429
3,Jueves,21:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Viernes,17:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Viernes,20:00,short,0.6892,0.6853,0.8852,0.1923,3.1429
3,Sábado,17:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Sábado,19:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Domingo,15:00,video,0.6892,0.6853,0.8852,0.1923,3.1429
3,Domingo,17:00,short,0.6892,0.6853,0.8852,0.1923,3.1429
